row_id,_source_file,month_start,year,month,booking_location,tankers_booked,tankers_delivered,delivery_gap,index,division,section,noofbookings,delivered
R57,tankers_reports_2024_12.csv,2024-12-01,2024,12,,589,589,0,56,6,FATHENAGAR,589,589
R58,tankers_reports_2024_12.csv,2024-12-01,2024,12,,304,304,0,57,6,FILM NAGAR,304,304
R59,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1660,1660,0,58,6,JUBILEE HILLS,1660,1660
R60,tankers_reports_2024_12.csv,2024-12-01,2024,12,,224,224,0,59,6,S.P.R HILLS,224,224
R61,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2824,2824,0,60,6,S.R.NAGAR,2824,2824
R62,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1128,1128,0,61,6,SOMAJIGUDA,1128,1128
R63,tankers_reports_2024_12.csv,2024-12-01,2024,12,,514,514,0,62,6,THATTIKHANA,514,514
R64,tankers_reports_2024_12.csv,2024-12-01,2024,12,,712,712,0,63,6,VENGALRAONAGAR,712,712
R65,tankers_reports_2024_12.csv,2024-12-01,2024,12,,493,493,0,64,6,YELLAREDDYGUDA,493,493
R66,tankers_reports_2024_12.csv,2024-12-01,2024,12,,29,29,0,65,7,BOIGUDA,29,29
R67,tankers_reports_2024_12.csv,2024-12-01,2024,12,,23,23,0,66,7,BOUDHANAGAR,23,23
R68,tankers_reports_2024_12.csv,2024-12-01,2024,12,,42,42,0,67,7,HUSSAINSAGAR,42,42
R69,tankers_reports_2024_12.csv,2024-12-01,2024,12,,6,6,0,68,7,LALAPET,6,6
R70,tankers_reports_2024_12.csv,2024-12-01,2024,12,,181,181,0,69,7,MARREDPALLY,181,181
R71,tankers_reports_2024_12.csv,2024-12-01,2024,12,,17,17,0,70,7,METTUGUDA,17,17
R72,tankers_reports_2024_12.csv,2024-12-01,2024,12,,22,22,0,71,7,NALLAGUTTA,22,22
R73,tankers_reports_2024_12.csv,2024-12-01,2024,12,,347,347,0,72,7,PRAKASHNAGAR,347,347
R74,tankers_reports_2024_12.csv,2024-12-01,2024,12,,83,83,0,73,7,REGIMENTAL BAZAR,83,83
R75,tankers_reports_2024_12.csv,2024-12-01,2024,12,,62,62,0,74,7,SEETHAPALMANDI,62,62
R76,tankers_reports_2024_12.csv,2024-12-01,2024,12,,88,88,0,75,7,SRINIVAS NAGAR,88,88
R77,tankers_reports_2024_12.csv,2024-12-01,2024,12,,282,282,0,76,7,TARNAKA,282,282
R78,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,77,8,ALIABAD,1,1
R79,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3,3,0,78,8,BALAPUR,3,3
R80,tankers_reports_2024_12.csv,2024-12-01,2024,12,,9,9,0,79,8,BANDLAGUDA,9,9
R81,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,80,8,JAHANUMA,1,1
R82,tankers_reports_2024_12.csv,2024-12-01,2024,12,,3,3,0,81,8,JANGAMMET,3,3
R83,tankers_reports_2024_12.csv,2024-12-01,2024,12,,1,1,0,82,8,KANCHANBAGH,1,1
R84,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2241,2241,0,83,9,BALAJINAGAR (DIV 9),2241,2241
R85,tankers_reports_2024_12.csv,2024-12-01,2024,12,,36,36,0,84,9,BALANAGAR,36,36
R86,tankers_reports_2024_12.csv,2024-12-01,2024,12,,792,792,0,85,9,BHAGYANAGAR,792,792
R87,tankers_reports_2024_12.csv,2024-12-01,2024,12,,49,49,0,86,9,BHARATHNAGAR,49,49
R88,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2339,2339,0,87,9,GAYATRI NAGAR,2339,2339
R89,tankers_reports_2024_12.csv,2024-12-01,2024,12,,450,450,0,88,9,HASMATHPET,450,450
R90,tankers_reports_2024_12.csv,2024-12-01,2024,12,,2751,2751,0,89,9,KPHB,2751,2751
R91,tankers_reports_2024_12.csv,2024-12-01,2024,12,,147,146,1,90,9,KUKATPALLY,147,146
R92,tankers_reports_2024_12.csv,2024-12-01,2024,12,,235,235,0,91,9,MOOSAPET,235,235
R93,tankers_reports_2024_12.csv,2024-12-01,2024,12,,258,258,0,92,9,MOTI NAGAR,258,258
R94,tankers_reports_2024_12.csv,2024-12-01,2024,12,,121,121,0,93,9,VIVEKANANDA NAGAR,121,121
R95,tankers_reports_2024_12.csv,2024-12-01,2024,12,,136,136,0,94,9,YELLAMMABANDA,136,136
R96,tankers_reports_2024_12.csv,2024-12-01,2024,12,,353,353,0,95,10,ALKAPURI,353,353
R97,tankers_reports_2024_12.csv,2024-12-01,2024,12,,104,104,0,96,10,DILSHUKNAGAR,104,104
R98,tankers_reports_2024_12.csv,2024-12-01,2024,12,,56,56,0,97,10,KOTHAPETA,56,56
R99,tankers_reports_2024_12.csv,2024-12-01,2024,12,,75,75,0,98,10,LINGOJIGUDA,75,75
R100,tankers_reports_2024_12.csv,2024-12-01,2024,12,,205,205,0,99,10,MARUTHINAGAR (DIV 10),205,205
R101,tankers_reports_2024_12.csv,2024-12-01,2024,12,,58,58,0,100,10,SAHEBNAGAR (DIV 10),58,58
R102,tankers_reports_2024_12.csv,2024-12-01,2024,12,,250,250,0,101,10,SAROORNAGAR,250,250
R103,tankers_reports_2024_12.csv,2024-12-01,2024,12,,52,52,0,102,10,VAISHALINAGAR (DIV 10),52,52
R104,tankers_reports_2024_12.csv,2024-12-01,2024,12,,27,27,0,103,11,AUTONAGAR,27,27
R105,tankers_reports_2024_12.csv,2024-12-01,2024,12,,15,15,0,104,11,B.N.REDDY NAGAR,15,15
R106,tankers_reports_2024_12.csv,2024-12-01,2024,12,,31,31,0,105,11,KAMALANAGAR,31,31
R107,tankers_reports_2024_12.csv,2024-12-01,2024,12,,35,35,0,106,11,L.B.NAGAR,35,35
