year,month,division,section,noofbookings,delivered,_source_file,date,month_iso
2024,12,7,BOIGUDA,29,29,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,BOUDHANAGAR,23,23,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,HUSSAINSAGAR,42,42,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,LALAPET,6,6,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,MARREDPALLY,181,181,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,METTUGUDA,17,17,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,NALLAGUTTA,22,22,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,PRAKASHNAGAR,347,347,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,REGIMENTAL BAZAR,83,83,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,SEETHAPALMANDI,62,62,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,SRINIVAS NAGAR,88,88,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,7,TARNAKA,282,282,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,8,ALIABAD,1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,8,BALAPUR,3,3,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,8,BANDLAGUDA,9,9,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,8,JAHANUMA,1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,8,JANGAMMET,3,3,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,8,KANCHANBAGH,1,1,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,BALAJINAGAR (DIV 9),2241,2241,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,BALANAGAR,36,36,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,BHAGYANAGAR,792,792,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,BHARATHNAGAR,49,49,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,GAYATRI NAGAR,2339,2339,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,HASMATHPET,450,450,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,KPHB,2751,2751,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,KUKATPALLY,147,146,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,MOOSAPET,235,235,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,MOTI NAGAR,258,258,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,VIVEKANANDA NAGAR,121,121,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,9,YELLAMMABANDA,136,136,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,ALKAPURI,353,353,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,DILSHUKNAGAR,104,104,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,KOTHAPETA,56,56,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,LINGOJIGUDA,75,75,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,MARUTHINAGAR (DIV 10),205,205,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,SAHEBNAGAR (DIV 10),58,58,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,SAROORNAGAR,250,250,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,10,VAISHALINAGAR (DIV 10),52,52,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,AUTONAGAR,27,27,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,B.N.REDDY NAGAR,15,15,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,KAMALANAGAR,31,31,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,L.B.NAGAR,35,35,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,MANSOORABAD,31,31,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,NAGOLE,11,11,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,NGO COLONY,37,37,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,11,VANASTHALIPURAM,68,68,tankers_reports_2024_12.csv,2024-12-01,2024-12
2024,12,12,ADARSHNAGAR,13,13,tankers_reports_2024_12.csv,2024-12-01,2024-12
